date,sales
2011-12-24,2758
2011-12-25,0
2011-12-26,2360
2011-12-27,2230
2011-12-28,2228
2011-12-29,2415
2011-12-30,3248
2011-12-31,3324
2012-01-01,2054
2012-01-02,2926
2012-01-03,2504
2012-01-04,2332
2012-01-05,2613
2012-01-06,2692
2012-01-07,3523
2012-01-08,3510
2012-01-09,2875
2012-01-10,2354
2012-01-11,2164
2012-01-12,1901
2012-01-13,2657
2012-01-14,3145
2012-01-15,3070
2012-01-16,2765
2012-01-17,2111
2012-01-18,2017
2012-01-19,2033
2012-01-20,2447
2012-01-21,3766
2012-01-22,3054
2012-01-23,1969
2012-01-24,1947
2012-01-25,1788
2012-01-26,1805
2012-01-27,2506
2012-01-28,3082
2012-01-29,3135
2012-01-30,2167
2012-01-31,2163
2012-02-01,2394
2012-02-02,2502
2012-02-03,3134
2012-02-04,4370
2012-02-05,3743
2012-02-06,2665
2012-02-07,2392
2012-02-08,2362
2012-02-09,2303
2012-02-10,2773
2012-02-11,4082
2012-02-12,4031
2012-02-13,2966
2012-02-14,1997
2012-02-15,1938
2012-02-16,2045
2012-02-17,2420
2012-02-18,3314
2012-02-19,3376
2012-02-20,2770
2012-02-21,2045
2012-02-22,2006
2012-02-23,2035
2012-02-24,2503
2012-02-25,3481
2012-02-26,3415
2012-02-27,2197
2012-02-28,2011
2012-02-29,2025
2012-03-01,2538
2012-03-02,2915
2012-03-03,3843
2012-03-04,3965
2012-03-05,3036
2012-03-06,2561
2012-03-07,2658
2012-03-08,2663
2012-03-09,2860
2012-03-10,4045
2012-03-11,4013
2012-03-12,2729
2012-03-13,2043
2012-03-14,2157
2012-03-15,2323
2012-03-16,2708
2012-03-17,3442
2012-03-18,3657
2012-03-19,2647
2012-03-20,2155
2012-03-21,2051
2012-03-22,2439
2012-03-23,2515
2012-03-24,3809
2012-03-25,3925
2012-03-26,2366
2012-03-27,2061
2012-03-28,1997
2012-03-29,1975
2012-03-30,3104
2012-03-31,3508
2012-04-01,3993
2012-04-02,2886
2012-04-03,3114
2012-04-04,2784
2012-04-05,3033
2012-04-06,4053
2012-04-07,4812
2012-04-08,3169
2012-04-09,3007
2012-04-10,2903
2012-04-11,2450
2012-04-12,2377
2012-04-13,2881
2012-04-14,3868
2012-04-15,3772
2012-04-16,2351
2012-04-17,2148
2012-04-18,2012
2012-04-19,2380
2012-04-20,3129
2012-04-21,3869
2012-04-22,3845
2012-04-23,2254
2012-04-24,2265
2012-04-25,2167
2012-04-26,2228
2012-04-27,2798
2012-04-28,3551
2012-04-29,3721
2012-04-30,2547
2012-05-01,2714
2012-05-02,2588
2012-05-03,2864
2012-05-04,3153
2012-05-05,3399
2012-05-06,4314
2012-05-07,3578
2012-05-08,2841
2012-05-09,2946
2012-05-10,2947
2012-05-11,3515
2012-05-12,4519
2012-05-13,3435
2012-05-14,2739
2012-05-15,2710
2012-05-16,2799
2012-05-17,2630
2012-05-18,3261
2012-05-19,3941
2012-05-20,4367
2012-05-21,2725
2012-05-22,2144
2012-05-23,2205
2012-05-24,2560
2012-05-25,3248
2012-05-26,3645
2012-05-27,3437
2012-05-28,2975
2012-05-29,2312
2012-05-30,2122
2012-05-31,2545
2012-06-01,3423
2012-06-02,4243
2012-06-03,3943
2012-06-04,2942
2012-06-05,2888
2012-06-06,2619
2012-06-07,2873
2012-06-08,3455
2012-06-09,3720
2012-06-10,4110
2012-06-11,3200
2012-06-12,2907
2012-06-13,2772
2012-06-14,2806
2012-06-15,3485
2012-06-16,4185
2012-06-17,3518
2012-06-18,2719
2012-06-19,2610
2012-06-20,2439
2012-06-21,2498
2012-06-22,3494
2012-06-23,3436
2012-06-24,3962
2012-06-25,2670
2012-06-26,2311
2012-06-27,2195
2012-06-28,2660
2012-06-29,3090
2012-06-30,3783
2012-07-01,4125
2012-07-02,3093
2012-07-03,3401
2012-07-04,2744
2012-07-05,2539
2012-07-06,3280
2012-07-07,3604
2012-07-08,4070
2012-07-09,3311
2012-07-10,2902
2012-07-11,2599
2012-07-12,2710
2012-07-13,3133
2012-07-14,3543
2012-07-15,3651
2012-07-16,2539
2012-07-17,2499
2012-07-18,2468
2012-07-19,2511
2012-07-20,3337
2012-07-21,3713
2012-07-22,3753
2012-07-23,2522
2012-07-24,2411
2012-07-25,2329
2012-07-26,2680
2012-07-27,2823
2012-07-28,2849
2012-07-29,3148
2012-07-30,2450
2012-07-31,2452
2012-08-01,2762
2012-08-02,3156
2012-08-03,3327
2012-08-04,3870
2012-08-05,4253
2012-08-06,3440
2012-08-07,2904
2012-08-08,3037
2012-08-09,2986
2012-08-10,3596
2012-08-11,4265
2012-08-12,3958
2012-08-13,3005
2012-08-14,2865
2012-08-15,2624
2012-08-16,2968
2012-08-17,3352
2012-08-18,4507
2012-08-19,4470
2012-08-20,2853
2012-08-21,2663
2012-08-22,2403
2012-08-23,2357
2012-08-24,2710
2012-08-25,3790
2012-08-26,3823
2012-08-27,2503
2012-08-28,2351
2012-08-29,2155
2012-08-30,2403
2012-08-31,3007
2012-09-01,4527
2012-09-02,4128
2012-09-03,3933
2012-09-04,2900
2012-09-05,2602
2012-09-06,2423
2012-09-07,3143
2012-09-08,3693
2012-09-09,4247
2012-09-10,2803
2012-09-11,2461
2012-09-12,2271
2012-09-13,2447
2012-09-14,3049
2012-09-15,3689
2012-09-16,3951
2012-09-17,2487
2012-09-18,2358
2012-09-19,2089
2012-09-20,2321
2012-09-21,2847
2012-09-22,3646
2012-09-23,3914
2012-09-24,2230
2012-09-25,2167
2012-09-26,2099
2012-09-27,1989
2012-09-28,2749
2012-09-29,3543
2012-09-30,3819
2012-10-01,2884
2012-10-02,2951
2012-10-03,2751
2012-10-04,2513
2012-10-05,2654
2012-10-06,3817
2012-10-07,4251
2012-10-08,3046
2012-10-09,2643
2012-10-10,2349
2012-10-11,2205
2012-10-12,2743
2012-10-13,3063
2012-10-14,3344
2012-10-15,2392
2012-10-16,2043
2012-10-17,2105
2012-10-18,1939
2012-10-19,2419
2012-10-20,2946
2012-10-21,3216
2012-10-22,2182
2012-10-23,1965
2012-10-24,1823
2012-10-25,1988
2012-10-26,2521
2012-10-27,3195
2012-10-28,3284
2012-10-29,2391
2012-10-30,2201
2012-10-31,1682
2012-11-01,2275
2012-11-02,2734
2012-11-03,3488
2012-11-04,3679
2012-11-05,2807
2012-11-06,2227
2012-11-07,2485
2012-11-08,2396
2012-11-09,3011
2012-11-10,3722
2012-11-11,3549
2012-11-12,2646
2012-11-13,2167
2012-11-14,1870
2012-11-15,2032
2012-11-16,2662
2012-11-17,3476
2012-11-18,3228
2012-11-19,2523
2012-11-20,2720
2012-11-21,3057
2012-11-22,1673
2012-11-23,1725
2012-11-24,2171
2012-11-25,2579
2012-11-26,2136
2012-11-27,1938
2012-11-28,1815
2012-11-29,1658
2012-11-30,2242
2012-12-01,3720
2012-12-02,3097
2012-12-03,2847
2012-12-04,2189
2012-12-05,2188
2012-12-06,2372
2012-12-07,2879
2012-12-08,3678
2012-12-09,3622
2012-12-10,2869
2012-12-11,2275
2012-12-12,2169
2012-12-13,2100
2012-12-14,2614
2012-12-15,3305
2012-12-16,3269
2012-12-17,2378
2012-12-18,2397
2012-12-19,2212
2012-12-20,2529
2012-12-21,2824
2012-12-22,3524
2012-12-23,3309
2012-12-24,2731
2012-12-25,0
2012-12-26,2045
2012-12-27,2079
2012-12-28,2415
2012-12-29,2781
2012-12-30,3111
2012-12-31,2974
2013-01-01,1888
2013-01-02,2508
2013-01-03,2813
2013-01-04,2962
2013-01-05,3320
2013-01-06,3557
2013-01-07,2847
2013-01-08,2449
2013-01-09,2118
2013-01-10,2543
2013-01-11,2837
2013-01-12,3694
2013-01-13,3351
2013-01-14,2295
2013-01-15,2194
2013-01-16,1992
2013-01-17,2150
2013-01-18,2619
2013-01-19,3533
2013-01-20,2966
2013-01-21,2537
2013-01-22,1922
2013-01-23,1807
2013-01-24,1857
2013-01-25,2264
2013-01-26,3307
2013-01-27,3102
2013-01-28,2088
2013-01-29,2012
2013-01-30,1717
2013-01-31,2116
2013-02-01,3039
2013-02-02,4472
2013-02-03,3046
2013-02-04,2214
2013-02-05,2252
2013-02-06,2283
2013-02-07,2442
2013-02-08,2849
2013-02-09,3843
2013-02-10,3969
2013-02-11,2885
2013-02-12,2165
2013-02-13,2541
2013-02-14,2045
2013-02-15,2765
2013-02-16,3350
2013-02-17,3282
2013-02-18,2591
2013-02-19,1989
2013-02-20,2286
2013-02-21,2309
2013-02-22,2790
2013-02-23,3208
2013-02-24,3229
2013-02-25,2261
2013-02-26,2026
2013-02-27,2036
2013-02-28,2105
2013-03-01,2699
2013-03-02,3680
2013-03-03,4006
2013-03-04,2656
2013-03-05,2328
2013-03-06,2456
2013-03-07,2324
2013-03-08,2978
2013-03-09,3621
2013-03-10,3479
2013-03-11,2529
2013-03-12,2149
2013-03-13,1985
2013-03-14,2163
2013-03-15,2758
2013-03-16,3378
2013-03-17,3282
2013-03-18,2025
2013-03-19,1984
2013-03-20,2234
2013-03-21,2146
2013-03-22,2789
2013-03-23,3228
2013-03-24,3280
2013-03-25,2346
2013-03-26,2192
2013-03-27,2083
2013-03-28,2661
2013-03-29,3274
2013-03-30,4414
2013-03-31,3191
2013-04-01,2301
2013-04-02,2495
2013-04-03,2596
2013-04-04,2602
2013-04-05,2992
2013-04-06,3672
2013-04-07,3852
2013-04-08,2620
2013-04-09,2550
2013-04-10,2611
2013-04-11,2513
2013-04-12,2576
2013-04-13,3255
2013-04-14,3214
2013-04-15,2310
2013-04-16,1946
2013-04-17,2128
2013-04-18,2013
2013-04-19,2680
2013-04-20,3333
2013-04-21,3406
2013-04-22,2417
2013-04-23,1956
2013-04-24,2115
2013-04-25,2126
2013-04-26,2506
2013-04-27,3073
2013-04-28,3319
2013-04-29,2472
2013-04-30,2284
2013-05-01,2351
2013-05-02,2618
2013-05-03,3287
2013-05-04,3831
2013-05-05,3792
2013-05-06,3075
2013-05-07,2636
2013-05-08,2426
2013-05-09,2629
2013-05-10,3017
2013-05-11,4200
2013-05-12,3265
2013-05-13,2591
2013-05-14,2359
2013-05-15,2360
2013-05-16,2549
2013-05-17,2835
2013-05-18,3162
2013-05-19,3774
2013-05-20,2657
2013-05-21,2451
2013-05-22,2269
2013-05-23,2466
2013-05-24,3010
2013-05-25,3182
2013-05-26,2976
2013-05-27,2985
2013-05-28,2300
2013-05-29,2110
2013-05-30,2321
2013-05-31,3095
2013-06-01,3856
2013-06-02,3982
2013-06-03,2966
2013-06-04,2694
2013-06-05,2842
2013-06-06,2120
2013-06-07,3358
2013-06-08,4011
2013-06-09,4186
2013-06-10,3336
2013-06-11,2612
2013-06-12,2649
2013-06-13,2738
2013-06-14,3523
2013-06-15,3936
2013-06-16,3373
2013-06-17,2624
2013-06-18,2530
2013-06-19,2246
2013-06-20,2567
2013-06-21,3308
2013-06-22,3766
2013-06-23,3790
2013-06-24,2659
2013-06-25,2298
2013-06-26,2637
2013-06-27,2610
2013-06-28,3651
2013-06-29,4075
2013-06-30,4077
2013-07-01,3672
2013-07-02,3559
2013-07-03,3874
2013-07-04,3504
2013-07-05,3799
2013-07-06,3445
2013-07-07,4336
2013-07-08,3254
2013-07-09,3081
2013-07-10,3125
2013-07-11,2888
2013-07-12,3376
2013-07-13,3725
2013-07-14,4179
2013-07-15,2888
2013-07-16,2719
2013-07-17,2728
2013-07-18,2828
2013-07-19,3203
2013-07-20,3799
2013-07-21,3908
2013-07-22,2777
2013-07-23,2714
2013-07-24,2661
2013-07-25,2598
2013-07-26,2925
2013-07-27,3239
2013-07-28,3786
2013-07-29,2743
2013-07-30,2660
2013-07-31,2504
2013-08-01,3135
2013-08-02,3769
2013-08-03,4222
2013-08-04,3836
2013-08-05,3378
2013-08-06,2980
2013-08-07,3263
2013-08-08,3124
2013-08-09,3514
2013-08-10,4744
2013-08-11,4688
2013-08-12,3392
2013-08-13,2785
2013-08-14,2721
2013-08-15,3115
2013-08-16,3552
2013-08-17,4105
2013-08-18,4212
2013-08-19,3063
2013-08-20,2554
2013-08-21,3010
2013-08-22,2652
2013-08-23,3058
2013-08-24,4016
2013-08-25,5016
2013-08-26,2784
2013-08-27,2497
2013-08-28,2437
2013-08-29,2547
2013-08-30,3701
2013-08-31,4767
2013-09-01,4585
2013-09-02,4427
2013-09-03,3216
2013-09-04,2923
2013-09-05,2958
2013-09-06,3559
2013-09-07,4486
2013-09-08,5015
2013-09-09,3458
2013-09-10,3013
2013-09-11,2710
2013-09-12,2656
2013-09-13,3295
2013-09-14,4044
2013-09-15,4040
2013-09-16,2974
2013-09-17,2776
2013-09-18,2565
2013-09-19,2555
2013-09-20,3253
2013-09-21,4172
2013-09-22,4532
2013-09-23,2861
2013-09-24,2662
2013-09-25,2178
2013-09-26,2449
2013-09-27,2865
2013-09-28,4007
2013-09-29,4518
2013-09-30,2952
2013-10-01,3020
2013-10-02,2370
2013-10-03,2693
2013-10-04,3288
2013-10-05,4061
2013-10-06,4256
2013-10-07,3317
2013-10-08,3072
2013-10-09,2859
2013-10-10,3002
2013-10-11,3184
2013-10-12,3665
2013-10-13,4053
2013-10-14,2899
2013-10-15,2311
2013-10-16,2357
2013-10-17,2425
2013-10-18,2899
2013-10-19,3676
2013-10-20,4015
2013-10-21,2620
2013-10-22,2359
2013-10-23,2274
2013-10-24,2126
2013-10-25,2827
2013-10-26,3716
2013-10-27,3855
2013-10-28,2730
2013-10-29,2386
2013-10-30,2493
2013-10-31,2134
2013-11-01,3120
2013-11-02,3665
2013-11-03,4408
2013-11-04,2863
2013-11-05,2665
2013-11-06,2543
2013-11-07,2497
2013-11-08,2955
2013-11-09,3648
2013-11-10,4145
2013-11-11,3067
2013-11-12,2215
2013-11-13,2124
2013-11-14,2309
2013-11-15,2589
2013-11-16,3701
2013-11-17,3781
2013-11-18,2550
2013-11-19,2242
2013-11-20,2130
2013-11-21,2260
2013-11-22,2597
2013-11-23,3645
2013-11-24,3680
2013-11-25,2800
2013-11-26,2931
2013-11-27,3309
2013-11-28,1838
2013-11-29,1839
2013-11-30,2281
2013-12-01,3208
2013-12-02,3185
2013-12-03,2884
2013-12-04,2738
2013-12-05,2637
2013-12-06,3118
2013-12-07,4281
2013-12-08,3962
2013-12-09,2913
2013-12-10,3160
2013-12-11,2443
2013-12-12,2389
2013-12-13,2738
2013-12-14,3660
2013-12-15,3651
2013-12-16,2848
2013-12-17,2403
2013-12-18,2517
2013-12-19,2626
2013-12-20,2674
2013-12-21,3715
2013-12-22,3729
2013-12-23,3537
2013-12-24,2620
2013-12-25,0
2013-12-26,2485
2013-12-27,2767
2013-12-28,3209
2013-12-29,3092
2013-12-30,3085
2013-12-31,3271
2014-01-01,2140
2014-01-02,2947
2014-01-03,3343
2014-01-04,3701
2014-01-05,4029
2014-01-06,3124
2014-01-07,2928
2014-01-08,2668
2014-01-09,2363
2014-01-10,2949
2014-01-11,4024
2014-01-12,3852
2014-01-13,2701
2014-01-14,2226
2014-01-15,2242
2014-01-16,2308
2014-01-17,2980
2014-01-18,3867
2014-01-19,3596
2014-01-20,2787
2014-01-21,2005
2014-01-22,2105
2014-01-23,2033
2014-01-24,2786
2014-01-25,3345
2014-01-26,3848
2014-01-27,2382
2014-01-28,2009
2014-01-29,1871
2014-01-30,1866
2014-01-31,2963
2014-02-01,4542
2014-02-02,3817
2014-02-03,2856
2014-02-04,2408
2014-02-05,2413
2014-02-06,2591
2014-02-07,2988
2014-02-08,4083
2014-02-09,4166
2014-02-10,3005
2014-02-11,2497
2014-02-12,2406
2014-02-13,2798
2014-02-14,2604
2014-02-15,3313
2014-02-16,3376
2014-02-17,2749
2014-02-18,2072
2014-02-19,2037
2014-02-20,2064
2014-02-21,2615
2014-02-22,3334
2014-02-23,3515
2014-02-24,2513
2014-02-25,2020
2014-02-26,1892
2014-02-27,2104
2014-02-28,2388
2014-03-01,3831
2014-03-02,3892
2014-03-03,2592
2014-03-04,2300
2014-03-05,2107
2014-03-06,2176
2014-03-07,2910
2014-03-08,3497
2014-03-09,4174
2014-03-10,3204
2014-03-11,2398
2014-03-12,2433
2014-03-13,2392
2014-03-14,2732
2014-03-15,3869
2014-03-16,3882
2014-03-17,2452
2014-03-18,2183
2014-03-19,2247
2014-03-20,2387
2014-03-21,2795
2014-03-22,3453
2014-03-23,4029
2014-03-24,2851
2014-03-25,2377
2014-03-26,2088
2014-03-27,2267
2014-03-28,2813
2014-03-29,3381
2014-03-30,4085
2014-03-31,2483
2014-04-01,2636
2014-04-02,2826
2014-04-03,2859
2014-04-04,3085
2014-04-05,3958
2014-04-06,4639
2014-04-07,3304
2014-04-08,3020
2014-04-09,2843
2014-04-10,2875
2014-04-11,2996
2014-04-12,3664
2014-04-13,3978
2014-04-14,2828
2014-04-15,2525
2014-04-16,2996
2014-04-17,2857
2014-04-18,3738
2014-04-19,4762
2014-04-20,3532
2014-04-21,2657
2014-04-22,2630
2014-04-23,2159
2014-04-24,2356
2014-04-25,3042
2014-04-26,3741
2014-04-27,3941
2014-04-28,2754
2014-04-29,2223
2014-04-30,2414
2014-05-01,2950
2014-05-02,3379
2014-05-03,4157
2014-05-04,4613
2014-05-05,3100
2014-05-06,2612
2014-05-07,2662
2014-05-08,2542
2014-05-09,3128
2014-05-10,3699
2014-05-11,2971
2014-05-12,3144
2014-05-13,2958
2014-05-14,2626
2014-05-15,2443
2014-05-16,3076
2014-05-17,3403
2014-05-18,4049
2014-05-19,2827
2014-05-20,2256
2014-05-21,2211
2014-05-22,2400
2014-05-23,2630
2014-05-24,3158
2014-05-25,3226
2014-05-26,3141
2014-05-27,2402
2014-05-28,2089
2014-05-29,2230
2014-05-30,2659
2014-05-31,3407
2014-06-01,4216
2014-06-02,3002
2014-06-03,2637
2014-06-04,2605
2014-06-05,2597
2014-06-06,2956
2014-06-07,3882
2014-06-08,4339
2014-06-09,3415
2014-06-10,2821
2014-06-11,2765
2014-06-12,2639
2014-06-13,3250
2014-06-14,3956
2014-06-15,3439
2014-06-16,2860
2014-06-17,2398
2014-06-18,2733
2014-06-19,2535
2014-06-20,3397
2014-06-21,3509
2014-06-22,3729
2014-06-23,2809
2014-06-24,2495
2014-06-25,2410
2014-06-26,2302
2014-06-27,2783
2014-06-28,3445
2014-06-29,3751
2014-06-30,2831
2014-07-01,2942
2014-07-02,2999
2014-07-03,3948
2014-07-04,3404
2014-07-05,3559
2014-07-06,4140
2014-07-07,3391
2014-07-08,3147
2014-07-09,2857
2014-07-10,3041
2014-07-11,3276
2014-07-12,3853
2014-07-13,3913
2014-07-14,2857
2014-07-15,2738
2014-07-16,2625
2014-07-17,2673
2014-07-18,3165
2014-07-19,3626
2014-07-20,4196
2014-07-21,2677
2014-07-22,2484
2014-07-23,2692
2014-07-24,2751
2014-07-25,3042
2014-07-26,3234
2014-07-27,3776
2014-07-28,3047
2014-07-29,2579
2014-07-30,2798
2014-07-31,2703
2014-08-01,3579
2014-08-02,4136
2014-08-03,4403
2014-08-04,3533
2014-08-05,3135
2014-08-06,2879
2014-08-07,2823
2014-08-08,3316
2014-08-09,4064
2014-08-10,4454
2014-08-11,2936
2014-08-12,2675
2014-08-13,2800
2014-08-14,2776
2014-08-15,2987
2014-08-16,4024
2014-08-17,4449
2014-08-18,3251
2014-08-19,2530
2014-08-20,2493
2014-08-21,2492
2014-08-22,2949
2014-08-23,3901
2014-08-24,4733
2014-08-25,2637
2014-08-26,2494
2014-08-27,2133
2014-08-28,2437
2014-08-29,3154
2014-08-30,3750
2014-08-31,3673
2014-09-01,3742
2014-09-02,2669
2014-09-03,2839
2014-09-04,2542
2014-09-05,3057
2014-09-06,4235
2014-09-07,4498
2014-09-08,2848
2014-09-09,2801
2014-09-10,2696
2014-09-11,2819
2014-09-12,2980
2014-09-13,3777
2014-09-14,3982
2014-09-15,2810
2014-09-16,2391
2014-09-17,2311
2014-09-18,2157
2014-09-19,2881
2014-09-20,3699
2014-09-21,4159
2014-09-22,2729
2014-09-23,2436
2014-09-24,2412
2014-09-25,2319
2014-09-26,2895
2014-09-27,3769
2014-09-28,4090
2014-09-29,2837
2014-09-30,2541
2014-10-01,2629
2014-10-02,2773
2014-10-03,3516
2014-10-04,4379
2014-10-05,4443
2014-10-06,3419
2014-10-07,2841
2014-10-08,2932
2014-10-09,3057
2014-10-10,3163
2014-10-11,3883
2014-10-12,4194
2014-10-13,2992
2014-10-14,2342
2014-10-15,2269
2014-10-16,2314
2014-10-17,2962
2014-10-18,4135
2014-10-19,4342
2014-10-20,2948
2014-10-21,2269
2014-10-22,2317
2014-10-23,2313
2014-10-24,2800
2014-10-25,3920
2014-10-26,3639
2014-10-27,2846
2014-10-28,2249
2014-10-29,2313
2014-10-30,2564
2014-10-31,2735
2014-11-01,4289
2014-11-02,4546
2014-11-03,3425
2014-11-04,2859
2014-11-05,2348
2014-11-06,2706
2014-11-07,2997
2014-11-08,3886
2014-11-09,4398
2014-11-10,3290
2014-11-11,2709
2014-11-12,2340
2014-11-13,2290
2014-11-14,2793
2014-11-15,3624
2014-11-16,4048
2014-11-17,2770
2014-11-18,2290
2014-11-19,2161
2014-11-20,2269
2014-11-21,2793
2014-11-22,3822
2014-11-23,3632
2014-11-24,3185
2014-11-25,3024
2014-11-26,3165
2014-11-27,1972
